Code,Append to js?,中文,ENG
LSKBSC,,李兆基樓小食店,Lee Shau Kee Building Snack Bar
WCS,,女工合作社,Women Cooperative Store
CCCSF,,崇基學院教職員聯誼會會所,Chung Chi College Staff Club
CCCAN,,崇基學院學生膳堂,Chung Chi College Student Canteen
LWCBC,,李慧珍樓咖啡室,Li Wai Chun Building Café
ORLO,,蘭苑,Orchid Lodge
Paper&Coffee,,龐萬倫學生中心咖啡室,Pommerenke Student Centre Café
LWCH,,李慧珍樓清真餐廳,Li Wai Chun Building Halal Food Outlet
NACSF,,新亞書院教職員餐廳,New Asia College Staff Canteen
NACSC,,新亞書院學生餐廳,New Asia College Student Canteen
NAYCH,,新亞書院雲起軒,New Asia College Yun Chi Hsien
NACLC,,新亞書院咖啡店 / Coffee Lover Café,New Asia College Coffee Shop / Coffee Lover Café
UCSFC,,聯合書院教職員膳堂聚賢軒,United College Staff Canteen
UCSCR,,聯合書院教職員會所文怡閣,United College Staff Common Room
UCCAN,,聯合書院學生膳堂,United College Student Canteen
UCSY,,聯合書院思源館,United College Si Yuan Amenities Centre
SCRC,,大學教職員會所,Staff Common Room Clubhouse
SSY,,逸夫書院餐廳 / 咖啡閣,SeeYou@Shaw / Café
MSDH,,晨興書院宴會廳,Morningside College Dining Hall
MSC,,晨興書院咖啡閣,Morningside College Café
SHCAN,,善衡書院餐廳,Canteen of S.H. Ho College
SHHCR,,善衡書院教職員會所「雅薈」,"Connexion, S.H. Ho College Staff Common Room"
SHC,,善衡書院咖啡閣,S.H. Ho College Café
CWCAN,,敬文書院餐廳,Canteen of CW Chu College
WYSCSC,,伍宜孫書院學生飯堂,Wu Yee Sun College Student Canteen
WYSSD,,伍宜孫書院教職員飯堂,Wu Yee Sun College Staff Dining Room
WSP,,和聲書院WS Pavilion,Lee Woo Sing College - WS Pavilion
WSTH,,和聲滬軒,Lee Woo Sing College - The Harmony
WSCT,,和聲書院Cafe Tolo,Lee Woo Sing College - Cafe Tolo
WSTG,,和聲書院綠茵廊,Lee Woo Sing College - The Green
TS,,The Stage,The Stage
C330,,Café 330,Café 330
JCPHC,,賽馬會研究生宿舍三座咖啡室,Postgraduate Hall 3 Café
INNO,,Inno330,Inno330
INNOP,,博文苑,InnoPort
CCHLT,,華連堂,Hua Lien Tang
CCLSPH,,利樹培堂,Lee Shu Pui Hall
CCMSHHH,,何善衡夫人宿舍,Madam S. H. Ho Hall
CCMHT,,明華堂,Ming Hua Tang
CCPMHH,,五旬節會樓高座,Pentecostal Mission Hall Complex (High Block)
CCPMHL,,五旬節會樓低座,Pentecostal Mission Hall Complex (Low Block)
CCTB,,神學樓,Theology Building
CCWCT,,文質堂,Wen Chih Tang
CCWLT,,文林堂,Wen Lin Tang
